,R,G,B,EX,LI,3BF,3RF,2GF
0,0.06,1.98,7.63,1000,B100,0.166666667,0.266666667,0.116666667
1,0.04,2.4,5.28,1000,B100,0.016666667,0.466666667,0.1
2,0,0.02,0.49,1000,B100,0.1,0.666666667,0.066666667
3,0,0.16,0.87,1000,B100,0.05,0.6,0.133333333
4,2.08,8.52,32.28,1000,B100,0.116666667,0.066666667,0.083333333
5,2.18,11.36,33.02,1000,B100,0.033333333,0.2,0.05
6,1.06,6.47,17.14,1000,B100,0.066666667,0.333333333,0.016666667
7,0.92,5.52,19.53,1000,B100,0.083333333,0.133333333,0.15
8,0,0.59,2.36,1000,B100,0.133333333,0.4,0.166666667
9,0,0.53,2.01,1000,B100,0.15,0.533333333,0.033333333
10,3.58,15.45,50.3,1000,B100,0.016666667,0.333333333,0.116666667
11,0,1,2.43,1000,B100,0.033333333,0.6,0.083333333
12,0,0,0.16,1000,B100,0.1,0.666666667,0.133333333
13,0.01,0.35,1.93,1000,B100,0.166666667,0.4,0.066666667
14,2.95,12.67,40.04,1000,B100,0.05,0.133333333,0.05
15,0,0.16,0.98,1000,B100,0.133333333,0.533333333,0.033333333
16,0,0.83,2.38,1000,B100,0.066666667,0.466666667,0.166666667
17,1.45,5.93,17.48,1000,B100,0.083333333,0.266666667,0.016666667
18,2.98,10.24,38.53,1000,B100,0.116666667,0.066666667,0.1
19,0.2,2.05,8.24,1000,B100,0.15,0.2,0.15
20,2.05,8.17,31.64,1000,B100,0.1,0.066666667,0.116666667
21,0.01,2.98,7.14,1000,B100,0.016666667,0.4,0.133333333
22,0.14,2.53,8.53,1000,B100,0.066666667,0.266666667,0.166666667
23,2.95,13.31,41.45,1000,B100,0.033333333,0.133333333,0.083333333
24,0,0,0.11,1000,B100,0.133333333,0.6,0.15
25,0.05,0.12,0.79,1000,B100,0.083333333,0.666666667,0.066666667
26,0,1.93,4.1,1000,B100,0.05,0.533333333,0.033333333
27,0.43,3.49,10.33,1000,B100,0.116666667,0.333333333,0.016666667
28,0,0.03,1.21,1000,B100,0.166666667,0.466666667,0.1
29,220.21,255,255,1000,B100,0.15,0.2,0.05
30,3.38,12.94,46.8,1000,B100,0.083333333,0.066666667,0.066666667
31,0.92,3.97,15.37,1000,B100,0.133333333,0.133333333,0.133333333
32,0.15,2.16,6.49,1000,B100,0.116666667,0.4,0.016666667
33,0.06,2.91,6.11,1000,B100,0.016666667,0.466666667,0.083333333
34,0.05,1.83,6.73,1000,B100,0.166666667,0.266666667,0.1
35,2.27,10.43,31.02,1000,B100,0.05,0.2,0.033333333
36,0.15,3.43,9.2,1000,B100,0.033333333,0.333333333,0.15
37,0.05,1.97,0.58,1000,B100,0.1,0.533333333,0.166666667
38,0.05,0.19,1.2,1000,B100,0.15,0.6,0.05
39,0,0.03,0.55,1000,B100,0.066666667,0.666666667,0.116666667
40,2.9,10.95,40.46,1000,B100,0.1,0.066666667,0.066666667
41,1.1,7.19,19.82,1000,B100,0.016666667,0.266666667,0.1
42,0.05,0.01,0.31,1000,B100,0.083333333,0.666666667,0.133333333
43,0.04,2.13,4.66,1000,B100,0.033333333,0.533333333,0.05
44,0.24,3.62,8.68,1000,B100,0.066666667,0.4,0.016666667
45,0.96,4.87,16.78,1000,B100,0.133333333,0.2,0.033333333
46,0,0.09,0.83,1000,B100,0.116666667,0.466666667,0.166666667
47,1.61,7.23,24.82,1000,B100,0.05,0.133333333,0.15
48,0,0.94,4.25,1000,B100,0.166666667,0.333333333,0.116666667
49,0,0.01,0.36,1000,B100,0.15,0.6,0.083333333
50,1.08,6.18,18.51,1000,B100,0.033333333,0.2,0.133333333
51,0.05,0.63,1.61,1000,B100,0.083333333,0.466666667,0.166666667
52,0.45,4.37,11.04,1000,B100,0.016666667,0.4,0.066666667
53,3.02,12.08,42.93,1000,B100,0.066666667,0.066666667,0.1
54,0.04,1.02,4.01,1000,B100,0.15,0.333333333,0.15
55,1.39,6.15,22.38,1000,B100,0.133333333,0.133333333,0.05
56,0,0.01,0.82,1000,B100,0.166666667,0.533333333,0.083333333
57,0.9,5.35,17.14,1000,B100,0.1,0.266666667,0.016666667
58,0,0,0.18,1000,B100,0.116666667,0.666666667,0.116666667
59,0,1.01,2.14,1000,B100,0.05,0.6,0.033333333
60,9.16,36.85,115.01,1000,B100,0.0143,0.05,0.0123
61,6.18,25.82,78.01,1000,B100,0.0286,0.1,0.0246
62,3.9,17.46,51.98,1000,B100,0.0429,0.15,0.0369
63,2.42,11.56,32.96,1000,B100,0.0572,0.2,0.0492
64,1.89,8.79,24.89,1000,B100,0.0715,0.25,0.0615
65,0.85,5.29,14.48,1000,B100,0.0858,0.3,0.0738
66,0.39,3.39,9.39,1000,B100,0.1001,0.35,0.0861
67,0.05,2.1,5.66,1000,B100,0.1144,0.4,0.0984
68,0,1.4,4.03,1000,B100,0.1287,0.45,0.1107
69,0.05,0.94,2.91,1000,B100,0.143,0.5,0.123
0,1.04,5.48,19.17,2500,B100,0.166666667,0.266666667,0.116666667
1,0.91,7.24,15.73,2500,B100,0.016666667,0.466666667,0.1
2,0,0.99,2.15,2500,B100,0.1,0.666666667,0.066666667
3,0,1.33,2.97,2500,B100,0.05,0.6,0.133333333
4,6.19,21.21,80.02,2500,B100,0.116666667,0.066666667,0.083333333
5,6.86,30.03,84.82,2500,B100,0.033333333,0.2,0.05
6,3.23,16.77,43.36,2500,B100,0.066666667,0.333333333,0.016666667
7,3.33,14.39,49.07,2500,B100,0.083333333,0.133333333,0.15
8,0.23,2.16,7.11,2500,B100,0.133333333,0.4,0.166666667
9,0.05,2.36,6.22,2500,B100,0.15,0.533333333,0.033333333
10,10.34,39.03,123.93,2500,B100,0.016666667,0.333333333,0.116666667
11,0.06,3.51,6.49,2500,B100,0.033333333,0.6,0.083333333
12,0,0.25,0.92,2500,B100,0.1,0.666666667,0.133333333
13,0.04,2.4,7.5,2500,B100,0.166666667,0.4,0.066666667
14,8.15,31.91,99.41,2500,B100,0.05,0.133333333,0.05
15,0.09,1.92,4.44,2500,B100,0.133333333,0.533333333,0.033333333
16,0.16,2.62,6.17,2500,B100,0.066666667,0.466666667,0.166666667
17,3.26,15.42,44.58,2500,B100,0.083333333,0.266666667,0.016666667
18,7.79,25.92,96.31,2500,B100,0.116666667,0.066666667,0.1
19,1.39,5.71,21.94,2500,B100,0.15,0.2,0.15
20,6.24,20.83,78.95,2500,B100,0.1,0.066666667,0.116666667
21,1.16,8.35,19.92,2500,B100,0.016666667,0.4,0.133333333
22,1.55,7.06,21.47,2500,B100,0.066666667,0.266666667,0.166666667
23,8.08,33.23,103.19,2500,B100,0.033333333,0.133333333,0.083333333
24,0,0.36,1.28,2500,B100,0.133333333,0.6,0.15
25,0,1.42,2.83,2500,B100,0.083333333,0.666666667,0.066666667
26,0.45,5.85,12.33,2500,B100,0.05,0.533333333,0.033333333
27,1.79,9,26.41,2500,B100,0.116666667,0.333333333,0.016666667
28,0,1.14,4.24,2500,B100,0.166666667,0.466666667,0.1
29,0.58,3.79,14.09,2500,B100,0.15,0.2,0.05
30,9.59,33.05,117.53,2500,B100,0.083333333,0.066666667,0.066666667
31,2.89,10.76,40.12,2500,B100,0.133333333,0.133333333,0.133333333
32,0.96,6.23,17.3,2500,B100,0.116666667,0.4,0.016666667
33,1.1,8.19,17.95,2500,B100,0.016666667,0.466666667,0.083333333
34,0.77,4.7,17.14,2500,B100,0.166666667,0.266666667,0.1
35,6.61,27.61,81.63,2500,B100,0.05,0.2,0.033333333
36,1.75,8.91,23.61,2500,B100,0.033333333,0.333333333,0.15
37,0,1.2,3.6,2500,B100,0.1,0.533333333,0.166666667
38,0,1.34,3.96,2500,B100,0.15,0.6,0.05
39,0,1.11,2.44,2500,B100,0.066666667,0.666666667,0.116666667
40,8.23,27.48,101.71,2500,B100,0.1,0.066666667,0.066666667
41,3.98,18.41,49.73,2500,B100,0.016666667,0.266666667,0.1
42,0.01,0.94,2.03,2500,B100,0.083333333,0.666666667,0.133333333
43,0.67,6.15,12.94,2500,B100,0.033333333,0.533333333,0.05
44,2.05,9.86,24.59,2500,B100,0.066666667,0.4,0.016666667
45,3.15,12.29,42.27,2500,B100,0.133333333,0.2,0.033333333
46,0.05,1.13,3.71,2500,B100,0.116666667,0.466666667,0.166666667
47,4.73,18.59,60.5,2500,B100,0.05,0.133333333,0.15
48,0.39,2.94,9.94,2500,B100,0.166666667,0.333333333,0.116666667
49,0,0.88,2.36,2500,B100,0.15,0.6,0.083333333
50,3.4,15.68,45.67,2500,B100,0.033333333,0.2,0.133333333
51,0.05,2.03,5.51,2500,B100,0.083333333,0.466666667,0.166666667
52,2.01,11.69,27.35,2500,B100,0.016666667,0.4,0.066666667
53,8.52,30.55,108.85,2500,B100,0.066666667,0.066666667,0.1
54,0.12,2.97,10.01,2500,B100,0.15,0.333333333,0.15
55,4.67,16.07,58.38,2500,B100,0.133333333,0.133333333,0.05
56,0,1.01,3.21,2500,B100,0.166666667,0.533333333,0.083333333
57,3.19,14.13,42.37,2500,B100,0.1,0.266666667,0.016666667
58,0,0.44,1.17,2500,B100,0.116666667,0.666666667,0.116666667
59,0.08,3.37,6.42,2500,B100,0.05,0.6,0.033333333
60,24.02,91.06,255,2500,B100,0.0143,0.05,0.0123
61,16.19,63.9,191.97,2500,B100,0.0286,0.1,0.0246
62,10.84,43.92,129.9,2500,B100,0.0429,0.15,0.0369
63,7.52,30.9,88.03,2500,B100,0.0572,0.2,0.0492
64,5.04,22.32,62.18,2500,B100,0.0715,0.25,0.0615
65,3,15.07,40.58,2500,B100,0.0858,0.3,0.0738
66,1.89,8.94,23.82,2500,B100,0.1001,0.35,0.0861
67,0.8,6.6,16.55,2500,B100,0.1144,0.4,0.0984
68,0.6,4.51,11.56,2500,B100,0.1287,0.45,0.1107
69,0.04,3.04,7.64,2500,B100,0.143,0.5,0.123
0,2.59,11.28,38.93,5000,B100,0.166666667,0.266666667,0.116666667
