R,G,B,EX,LI,3BF,3RF,2GF
9.16,36.85,115.01,1000,B100,0.0143,0.05,0.0123
6.18,25.82,78.01,1000,B100,0.0286,0.1,0.0246
3.9,17.46,51.98,1000,B100,0.0429,0.15,0.0369
2.42,11.56,32.96,1000,B100,0.0572,0.2,0.0492
1.89,8.79,24.89,1000,B100,0.0715,0.25,0.0615
0.85,5.29,14.48,1000,B100,0.0858,0.3,0.0738
0.39,3.39,9.39,1000,B100,0.1001,0.35,0.0861
0.05,2.1,5.66,1000,B100,0.1144,0.4,0.0984
0,1.4,4.03,1000,B100,0.1287,0.45,0.1107
0.05,0.94,2.91,1000,B100,0.143,0.5,0.123
24.02,91.06,255,2500,B100,0.0143,0.05,0.0123
16.19,63.9,191.97,2500,B100,0.0286,0.1,0.0246
10.84,43.92,129.9,2500,B100,0.0429,0.15,0.0369
7.52,30.9,88.03,2500,B100,0.0572,0.2,0.0492
5.04,22.32,62.18,2500,B100,0.0715,0.25,0.0615
3,15.07,40.58,2500,B100,0.0858,0.3,0.0738
1.89,8.94,23.82,2500,B100,0.1001,0.35,0.0861
0.8,6.6,16.55,2500,B100,0.1144,0.4,0.0984
0.6,4.51,11.56,2500,B100,0.1287,0.45,0.1107
0.04,3.04,7.64,2500,B100,0.143,0.5,0.123
48.42,178.8,255,5000,B100,0.0143,0.05,0.0123
32.36,126.02,255,5000,B100,0.0286,0.1,0.0246
22.42,88.44,252.98,5000,B100,0.0429,0.15,0.0369
15.08,61.5,175.09,5000,B100,0.0572,0.2,0.0492
10.56,44.71,123.93,5000,B100,0.0715,0.25,0.0615
6.47,30.39,81.23,5000,B100,0.0858,0.3,0.0738
3.75,18.4,47.74,5000,B100,0.1001,0.35,0.0861
2.73,13.31,33.73,5000,B100,0.1144,0.4,0.0984
1.45,8.68,20.39,5000,B100,0.1287,0.45,0.1107
0.97,6.52,15.17,5000,B100,0.143,0.5,0.123
97.56,255,255,10000,B100,0.0143,0.05,0.0123
65.85,242.13,255,10000,B100,0.0286,0.1,0.0246
44.7,172.53,255,10000,B100,0.0429,0.15,0.0369
30.43,121.44,255,10000,B100,0.0572,0.2,0.0492
21.1,88.16,243.29,10000,B100,0.0715,0.25,0.0615
14.3,60.25,161.16,10000,B100,0.0858,0.3,0.0738
7.96,36.77,94.67,10000,B100,0.1001,0.35,0.0861
5.87,27.12,68.49,10000,B100,0.1144,0.4,0.0984
3.67,19.27,47.22,10000,B100,0.1287,0.45,0.1107
2.07,12.83,30.42,10000,B100,0.143,0.5,0.123
197.18,255,255,20000,B100,0.0143,0.05,0.0123
132.71,255,255,20000,B100,0.0286,0.1,0.0246
89.67,255,255,20000,B100,0.0429,0.15,0.0369
60.4,234.82,255,20000,B100,0.0572,0.2,0.0492
43.39,173.06,255,20000,B100,0.0715,0.25,0.0615
28.44,119.44,255,20000,B100,0.0858,0.3,0.0738
16.38,73.06,188.5,20000,B100,0.1001,0.35,0.0861
11.81,54.02,134.58,20000,B100,0.1144,0.4,0.0984
8.25,38.91,95.48,20000,B100,0.1287,0.45,0.1107
5.18,25.91,61.27,20000,B100,0.143,0.5,0.123
255,255,255,40000,B100,0.0143,0.05,0.0123
255,255,255,40000,B100,0.0286,0.1,0.0246
181.85,255,255,40000,B100,0.0429,0.15,0.0369
123.55,255,255,40000,B100,0.0572,0.2,0.0492
86.77,255,255,40000,B100,0.0715,0.25,0.0615
57.72,230.41,255,40000,B100,0.0858,0.3,0.0738
33.03,143.85,255,40000,B100,0.1001,0.35,0.0861
23.77,107.1,255,40000,B100,0.1144,0.4,0.0984
17.23,78.05,190.13,40000,B100,0.1287,0.45,0.1107
10.64,51.82,120.33,40000,B100,0.143,0.5,0.123
255,255,255,80000,B100,0.0143,0.05,0.0123
255,255,255,80000,B100,0.0286,0.1,0.0246
255,255,255,80000,B100,0.0429,0.15,0.0369
246.36,255,255,80000,B100,0.0572,0.2,0.0492
174.34,255,255,80000,B100,0.0715,0.25,0.0615
115.96,255,255,80000,B100,0.0858,0.3,0.0738
65.95,255,255,80000,B100,0.1001,0.35,0.0861
48.61,208.9,255,80000,B100,0.1144,0.4,0.0984
33.76,153.85,255,80000,B100,0.1287,0.45,0.1107
21.81,101.59,234.37,80000,B100,0.143,0.5,0.123
255,255,255,120000,B100,0.0143,0.05,0.0123
255,255,255,120000,B100,0.0286,0.1,0.0246
255,255,255,120000,B100,0.0429,0.15,0.0369
255,255,255,120000,B100,0.0572,0.2,0.0492
254.55,255,255,120000,B100,0.0715,0.25,0.0615
174.36,255,255,120000,B100,0.0858,0.3,0.0738
99.54,255,255,120000,B100,0.1001,0.35,0.0861
72.58,255,255,120000,B100,0.1144,0.4,0.0984
51.91,225.47,255,120000,B100,0.1287,0.45,0.1107
31.55,149.15,255,120000,B100,0.143,0.5,0.123
255,255,255,200000,B100,0.0143,0.05,0.0123
255,255,255,200000,B100,0.0286,0.1,0.0246
255,255,255,200000,B100,0.0429,0.15,0.0369
255,255,255,200000,B100,0.0572,0.2,0.0492
255,255,255,200000,B100,0.0715,0.25,0.0615
255,255,255,200000,B100,0.0858,0.3,0.0738
152.44,255,255,200000,B100,0.1001,0.35,0.0861
124.11,255,255,200000,B100,0.1144,0.4,0.0984
86.88,255,255,200000,B100,0.1287,0.45,0.1107
48.56,222.57,255,200000,B100,0.143,0.5,0.123
