R,G,B,EX,LI,3BF,3RF,2GF
0.06,1.98,7.63,1000,B100,0.166666667,0.266666667,0.116666667
0.04,2.4,5.28,1000,B100,0.016666667,0.466666667,0.1
0,0.02,0.49,1000,B100,0.1,0.666666667,0.066666667
0,0.16,0.87,1000,B100,0.05,0.6,0.133333333
2.08,8.52,32.28,1000,B100,0.116666667,0.066666667,0.083333333
2.18,11.36,33.02,1000,B100,0.033333333,0.2,0.05
1.06,6.47,17.14,1000,B100,0.066666667,0.333333333,0.016666667
0.92,5.52,19.53,1000,B100,0.083333333,0.133333333,0.15
0,0.59,2.36,1000,B100,0.133333333,0.4,0.166666667
0,0.53,2.01,1000,B100,0.15,0.533333333,0.033333333
3.58,15.45,50.3,1000,B100,0.016666667,0.333333333,0.116666667
0,1,2.43,1000,B100,0.033333333,0.6,0.083333333
0,0,0.16,1000,B100,0.1,0.666666667,0.133333333
0.01,0.35,1.93,1000,B100,0.166666667,0.4,0.066666667
2.95,12.67,40.04,1000,B100,0.05,0.133333333,0.05
0,0.16,0.98,1000,B100,0.133333333,0.533333333,0.033333333
0,0.83,2.38,1000,B100,0.066666667,0.466666667,0.166666667
1.45,5.93,17.48,1000,B100,0.083333333,0.266666667,0.016666667
2.98,10.24,38.53,1000,B100,0.116666667,0.066666667,0.1
0.2,2.05,8.24,1000,B100,0.15,0.2,0.15
2.05,8.17,31.64,1000,B100,0.1,0.066666667,0.116666667
0.01,2.98,7.14,1000,B100,0.016666667,0.4,0.133333333
0.14,2.53,8.53,1000,B100,0.066666667,0.266666667,0.166666667
2.95,13.31,41.45,1000,B100,0.033333333,0.133333333,0.083333333
0,0,0.11,1000,B100,0.133333333,0.6,0.15
0.05,0.12,0.79,1000,B100,0.083333333,0.666666667,0.066666667
0,1.93,4.1,1000,B100,0.05,0.533333333,0.033333333
0.43,3.49,10.33,1000,B100,0.116666667,0.333333333,0.016666667
0,0.03,1.21,1000,B100,0.166666667,0.466666667,0.1
220.21,255,255,1000,B100,0.15,0.2,0.05
3.38,12.94,46.8,1000,B100,0.083333333,0.066666667,0.066666667
0.92,3.97,15.37,1000,B100,0.133333333,0.133333333,0.133333333
0.15,2.16,6.49,1000,B100,0.116666667,0.4,0.016666667
0.06,2.91,6.11,1000,B100,0.016666667,0.466666667,0.083333333
0.05,1.83,6.73,1000,B100,0.166666667,0.266666667,0.1
2.27,10.43,31.02,1000,B100,0.05,0.2,0.033333333
0.15,3.43,9.2,1000,B100,0.033333333,0.333333333,0.15
0.05,1.97,0.58,1000,B100,0.1,0.533333333,0.166666667
0.05,0.19,1.2,1000,B100,0.15,0.6,0.05
0,0.03,0.55,1000,B100,0.066666667,0.666666667,0.116666667
2.9,10.95,40.46,1000,B100,0.1,0.066666667,0.066666667
1.1,7.19,19.82,1000,B100,0.016666667,0.266666667,0.1
0.05,0.01,0.31,1000,B100,0.083333333,0.666666667,0.133333333
0.04,2.13,4.66,1000,B100,0.033333333,0.533333333,0.05
0.24,3.62,8.68,1000,B100,0.066666667,0.4,0.016666667
0.96,4.87,16.78,1000,B100,0.133333333,0.2,0.033333333
0,0.09,0.83,1000,B100,0.116666667,0.466666667,0.166666667
1.61,7.23,24.82,1000,B100,0.05,0.133333333,0.15
0,0.94,4.25,1000,B100,0.166666667,0.333333333,0.116666667
0,0.01,0.36,1000,B100,0.15,0.6,0.083333333
1.08,6.18,18.51,1000,B100,0.033333333,0.2,0.133333333
0.05,0.63,1.61,1000,B100,0.083333333,0.466666667,0.166666667
0.45,4.37,11.04,1000,B100,0.016666667,0.4,0.066666667
3.02,12.08,42.93,1000,B100,0.066666667,0.066666667,0.1
0.04,1.02,4.01,1000,B100,0.15,0.333333333,0.15
1.39,6.15,22.38,1000,B100,0.133333333,0.133333333,0.05
0,0.01,0.82,1000,B100,0.166666667,0.533333333,0.083333333
0.9,5.35,17.14,1000,B100,0.1,0.266666667,0.016666667
0,0,0.18,1000,B100,0.116666667,0.666666667,0.116666667
0,1.01,2.14,1000,B100,0.05,0.6,0.033333333
1.04,5.48,19.17,2500,B100,0.166666667,0.266666667,0.116666667
0.91,7.24,15.73,2500,B100,0.016666667,0.466666667,0.1
0,0.99,2.15,2500,B100,0.1,0.666666667,0.066666667
0,1.33,2.97,2500,B100,0.05,0.6,0.133333333
6.19,21.21,80.02,2500,B100,0.116666667,0.066666667,0.083333333
6.86,30.03,84.82,2500,B100,0.033333333,0.2,0.05
3.23,16.77,43.36,2500,B100,0.066666667,0.333333333,0.016666667
3.33,14.39,49.07,2500,B100,0.083333333,0.133333333,0.15
0.23,2.16,7.11,2500,B100,0.133333333,0.4,0.166666667
0.05,2.36,6.22,2500,B100,0.15,0.533333333,0.033333333
