R,G,B,EX,LI,3BF,3RF,2GF
0.01,1.95,0.75,1000,G100,0.166666667,0.266666667,0.116666667
1.66,13.24,5.96,1000,G100,0.016666667,0.466666667,0.1
0.3,3.7,1,1000,G100,0.1,0.666666667,0.066666667
0.28,4.19,1.54,1000,G100,0.05,0.6,0.133333333
0.42,5.81,2.97,1000,G100,0.116666667,0.066666667,0.083333333
3.75,24.68,11.78,1000,G100,0.033333333,0.2,0.05
3.22,19.46,8.11,1000,G100,0.066666667,0.333333333,0.016666667
0.29,5.15,2.4,1000,G100,0.083333333,0.133333333,0.15
0,1.47,0.21,1000,G100,0.133333333,0.4,0.166666667
0.47,3.99,1.11,1000,G100,0.15,0.533333333,0.033333333
2.35,20.81,11.2,1000,G100,0.016666667,0.333333333,0.116666667
1,10.4,3.98,1000,G100,0.033333333,0.6,0.083333333
0.04,1.44,0.12,1000,G100,0.1,0.666666667,0.133333333
0.08,1.93,0.57,1000,G100,0.166666667,0.4,0.066666667
2.91,20.1,9.22,1000,G100,0.05,0.133333333,0.05
0.65,4.09,1.28,1000,G100,0.133333333,0.533333333,0.033333333
0.1,3.21,1.2,1000,G100,0.066666667,0.466666667,0.166666667
2.36,14.11,6.07,1000,G100,0.083333333,0.266666667,0.016666667
0.94,7.73,4.21,1000,G100,0.116666667,0.066666667,0.1
0,1.55,0.57,1000,G100,0.15,0.2,0.15
0.42,5.87,2.96,1000,G100,0.1,0.066666667,0.116666667
1.29,11.24,5.29,1000,G100,0.016666667,0.4,0.133333333
0.23,4.31,2.12,1000,G100,0.066666667,0.266666667,0.166666667
2.74,20.15,10.45,1000,G100,0.033333333,0.133333333,0.083333333
0,0.92,0.04,1000,G100,0.133333333,0.6,0.15
0.5,5.29,1.8,1000,G100,0.083333333,0.666666667,0.066666667
2.2,14.58,5.73,1000,G100,0.05,0.533333333,0.033333333
1.5,8.17,3.33,1000,G100,0.116666667,0.333333333,0.016666667
0.03,1.14,0.19,1000,G100,0.166666667,0.466666667,0.1
0.55,4.38,2.09,1000,G100,0.15,0.2,0.05
1.5,12.64,6.53,1000,G100,0.083333333,0.066666667,0.066666667
0.04,2.98,1.3,1000,G100,0.133333333,0.133333333,0.133333333
1.44,7.17,2.59,1000,G100,0.116666667,0.4,0.016666667
2.34,16.19,7.22,1000,G100,0.016666667,0.466666667,0.083333333
0,1.77,0.67,1000,G100,0.166666667,0.266666667,0.1
3.5,22.72,10.95,1000,G100,0.05,0.2,0.033333333
0.9,8.59,4.35,1000,G100,0.033333333,0.333333333,0.15
0,1.9,0.72,1000,G100,0.1,0.533333333,0.166666667
0.21,2.77,0.73,1000,G100,0.15,0.6,0.05
0.15,4.08,1.24,1000,G100,0.066666667,0.666666667,0.116666667
1.32,9.45,5.12,1000,G100,0.1,0.066666667,0.066666667
2.47,18.23,8.55,1000,G100,0.016666667,0.266666667,0.1
0.15,2.74,0.93,1000,G100,0.083333333,0.666666667,0.133333333
2.28,15.17,6.05,1000,G100,0.033333333,0.533333333,0.05
2.63,15.48,6.52,1000,G100,0.066666667,0.4,0.016666667
0.9,6.6,2.96,1000,G100,0.133333333,0.2,0.033333333
0,1.46,0.13,1000,G100,0.116666667,0.466666667,0.166666667
0.91,8.59,4.54,1000,G100,0.05,0.133333333,0.15
0,1.47,0.15,1000,G100,0.166666667,0.333333333,0.116666667
0.05,1.7,0.36,1000,G100,0.15,0.6,0.083333333
1.16,10.7,5.5,1000,G100,0.033333333,0.2,0.133333333
0,2.65,0.86,1000,G100,0.083333333,0.466666667,0.166666667
2.7,19.05,8.24,1000,G100,0.016666667,0.4,0.066666667
1.39,11.83,6.07,1000,G100,0.066666667,0.066666667,0.1
0.01,1.1,0.47,1000,G100,0.15,0.333333333,0.15
0.84,6.05,2.94,1000,G100,0.133333333,0.133333333,0.05
0.13,1.42,0.1,1000,G100,0.166666667,0.533333333,0.083333333
2,11.25,4.75,1000,G100,0.1,0.266666667,0.016666667
0,1.88,0.56,1000,G100,0.116666667,0.666666667,0.116666667
2.01,13.28,4.98,1000,G100,0.05,0.6,0.033333333
0.27,5.36,2.38,2500,G100,0.166666667,0.266666667,0.116666667
4.78,33.49,14.91,2500,G100,0.016666667,0.466666667,0.1
1.56,9.9,3.62,2500,G100,0.1,0.666666667,0.066666667
1.36,11.18,4.45,2500,G100,0.05,0.6,0.133333333
2.12,15.11,8.19,2500,G100,0.116666667,0.066666667,0.083333333
9.96,61.53,30.06,2500,G100,0.033333333,0.2,0.05
8.87,48.23,21.51,2500,G100,0.066666667,0.333333333,0.016666667
1.3,13.04,7.16,2500,G100,0.083333333,0.133333333,0.15
0.23,4.19,1.81,2500,G100,0.133333333,0.4,0.166666667
2.19,10.43,3.89,2500,G100,0.15,0.533333333,0.033333333
7.89,51.66,27.61,2500,G100,0.016666667,0.333333333,0.116666667
4.05,26.14,11.31,2500,G100,0.033333333,0.6,0.083333333
0.41,4.6,1.81,2500,G100,0.1,0.666666667,0.133333333
1.04,5.57,2.06,2500,G100,0.166666667,0.4,0.066666667
8.19,50.01,25.09,2500,G100,0.05,0.133333333,0.05
2.46,10.93,3.83,2500,G100,0.133333333,0.533333333,0.033333333
0.93,8.8,4.03,2500,G100,0.066666667,0.466666667,0.166666667
6.72,35.2,16.16,2500,G100,0.083333333,0.266666667,0.016666667
2.66,19.97,10.96,2500,G100,0.116666667,0.066666667,0.1
