R,G,B,EX,LI,BF3,RF3,GF2
17.29,2.32,0.05,1000,R100,0.166666667,0.266666667,0.116666667
21.11,2.92,0.04,1000,R100,0.016666667,0.466666667,0.1
33.41,4.85,0.44,1000,R100,0.1,0.666666667,0.066666667
10.73,1.19,0,1000,R100,0.05,0.6,0.133333333
27.19,3.84,0.08,1000,R100,0.116666667,0.066666667,0.083333333
48.09,7.14,0.81,1000,R100,0.033333333,0.2,0.05
82.31,13.03,1.89,1000,R100,0.066666667,0.333333333,0.016666667
9.5,1,0,1000,R100,0.083333333,0.133333333,0.15
7.64,0.86,0,1000,R100,0.133333333,0.4,0.166666667
62.1,9.66,1.24,1000,R100,0.15,0.533333333,0.033333333
18.2,2.47,0,1000,R100,0.016666667,0.333333333,0.116666667
27.67,4.11,0.19,1000,R100,0.033333333,0.6,0.083333333
11.17,1.27,0,1000,R100,0.1,0.666666667,0.133333333
35.65,5.31,0.69,1000,R100,0.166666667,0.4,0.066666667
49.13,7.65,0.91,1000,R100,0.05,0.133333333,0.05
60.91,9.33,1.43,1000,R100,0.133333333,0.533333333,0.033333333
0.05,3.35,1.26,1000,R100,0.066666667,0.466666667,0.166666667
83.9,13.48,1.94,1000,R100,0.083333333,0.266666667,0.016666667
27.72,3.88,0.16,1000,R100,0.116666667,0.066666667,0.1
9.61,0.99,0,1000,R100,0.15,0.2,0.15
17.41,2.17,0,1000,R100,0.1,0.066666667,0.116666667
12.8,1.73,0,1000,R100,0.016666667,0.4,0.133333333
6.48,0.7,0,1000,R100,0.066666667,0.266666667,0.166666667
30.45,4.44,0.15,1000,R100,0.033333333,0.133333333,0.083333333
8.91,0.98,0,1000,R100,0.133333333,0.6,0.15
36.67,5.58,0.58,1000,R100,0.083333333,0.666666667,0.066666667
63.88,10.08,1.09,1000,R100,0.05,0.533333333,0.033333333
85.29,13.57,1.67,1000,R100,0.116666667,0.333333333,0.016666667
20.99,2.98,0.05,1000,R100,0.166666667,0.466666667,0.1
50.45,7.79,1.17,1000,R100,0.15,0.2,0.05
38.89,5.93,0.6,1000,R100,0.083333333,0.066666667,0.066666667
13.4,1.83,0.03,1000,R100,0.133333333,0.133333333,0.133333333
83.96,13.43,1.82,1000,R100,0.116666667,0.4,0.016666667
27.68,3.99,0.21,1000,R100,0.016666667,0.466666667,0.083333333
