R,G,B,EX,LI,3BF,3RF,2GF
92.52,14.55,2.06,1000,R100,0.0143,0.05,0.0123
76.73,12.2,1.52,1000,R100,0.0286,0.1,0.0246
62.53,9.49,1.53,1000,R100,0.0429,0.15,0.0369
51.02,7.61,1,1000,R100,0.0572,0.2,0.0492
43.36,6.51,0.77,1000,R100,0.0715,0.25,0.0615
34.55,5.12,0.5,1000,R100,0.0858,0.3,0.0738
26.94,3.72,0.2,1000,R100,0.1001,0.35,0.0861
22.31,3.14,0.13,1000,R100,0.1144,0.4,0.0984
18.57,2.57,0,1000,R100,0.1287,0.45,0.1107
14.82,1.92,0.01,1000,R100,0.143,0.5,0.123
230.2,37.51,6.25,2500,R100,0.0143,0.05,0.0123
189.78,31.12,5.04,2500,R100,0.0286,0.1,0.0246
154.17,25.06,4.06,2500,R100,0.0429,0.15,0.0369
126.44,20.36,3.02,2500,R100,0.0572,0.2,0.0492
106.45,16.74,2.71,2500,R100,0.0715,0.25,0.0615
86.09,13.66,2.01,2500,R100,0.0858,0.3,0.0738
65.4,10.21,1.65,2500,R100,0.1001,0.35,0.0861
56.56,8.35,1.18,2500,R100,0.1144,0.4,0.0984
46.09,6.96,0.8,2500,R100,0.1287,0.45,0.1107
37.01,5.67,0.78,2500,R100,0.143,0.5,0.123
255,74.73,13.35,5000,R100,0.0143,0.05,0.0123
255,61.57,10.78,5000,R100,0.0286,0.1,0.0246
255,49.76,8.52,5000,R100,0.0429,0.15,0.0369
250.09,40.61,6.94,5000,R100,0.0572,0.2,0.0492
209.98,33.95,5.78,5000,R100,0.0715,0.25,0.0615
170.81,27.11,4.6,5000,R100,0.0858,0.3,0.0738
129.76,20.86,3.34,5000,R100,0.1001,0.35,0.0861
111.29,17.43,2.92,5000,R100,0.1144,0.4,0.0984
92.19,14.4,2.18,5000,R100,0.1287,0.45,0.1107
74.86,11.49,1.6,5000,R100,0.143,0.5,0.123
255,147.27,26.32,10000,R100,0.0143,0.05,0.0123
255,121.52,21.68,10000,R100,0.0286,0.1,0.0246
255,98.77,17.36,10000,R100,0.0429,0.15,0.0369
255,80.96,14.8,10000,R100,0.0572,0.2,0.0492
255,67.02,12.21,10000,R100,0.0715,0.25,0.0615
255,54.54,10.03,10000,R100,0.0858,0.3,0.0738
254.26,41.42,7.08,10000,R100,0.1001,0.35,0.0861
218.36,34.39,6.07,10000,R100,0.1144,0.4,0.0984
182.98,28.94,5.02,10000,R100,0.1287,0.45,0.1107
145.58,22.73,4.14,10000,R100,0.143,0.5,0.123
255,255,53.73,20000,R100,0.0143,0.05,0.0123
255,234.04,44.06,20000,R100,0.0286,0.1,0.0246
255,192.69,35.92,20000,R100,0.0429,0.15,0.0369
255,159.45,29.5,20000,R100,0.0572,0.2,0.0492
255,133.4,24.9,20000,R100,0.0715,0.25,0.0615
255,108.49,19.97,20000,R100,0.0858,0.3,0.0738
255,81.78,15.41,20000,R100,0.1001,0.35,0.0861
255,68.92,12.94,20000,R100,0.1144,0.4,0.0984
255,57.69,10.67,20000,R100,0.1287,0.45,0.1107
255,46.25,8.55,20000,R100,0.143,0.5,0.123
255,255,109.52,40000,R100,0.0143,0.05,0.0123
255,255,88.94,40000,R100,0.0286,0.1,0.0246
255,255,73.37,40000,R100,0.0429,0.15,0.0369
255,255,59.54,40000,R100,0.0572,0.2,0.0492
255,253.11,49.31,40000,R100,0.0715,0.25,0.0615
255,209.79,41.06,40000,R100,0.0858,0.3,0.0738
255,160.74,30.65,40000,R100,0.1001,0.35,0.0861
255,136.37,25.91,40000,R100,0.1144,0.4,0.0984
255,113.64,21.7,40000,R100,0.1287,0.45,0.1107
255,91.66,17.68,40000,R100,0.143,0.5,0.123
255,255,216.7,80000,R100,0.0143,0.05,0.0123
255,255,179.74,80000,R100,0.0286,0.1,0.0246
255,255,147.07,80000,R100,0.0429,0.15,0.0369
255,255,122.64,80000,R100,0.0572,0.2,0.0492
255,255,100.95,80000,R100,0.0715,0.25,0.0615
255,255,81.53,80000,R100,0.0858,0.3,0.0738
255,255,61.25,80000,R100,0.1001,0.35,0.0861
255,254.54,52.67,80000,R100,0.1144,0.4,0.0984
255,219.7,44.64,80000,R100,0.1287,0.45,0.1107
255,179.99,35.78,80000,R100,0.143,0.5,0.123
255,255,255,120000,R100,0.0143,0.05,0.0123
255,255,254.94,120000,R100,0.0286,0.1,0.0246
255,255,219.23,120000,R100,0.0429,0.15,0.0369
255,255,182.5,120000,R100,0.0572,0.2,0.0492
255,255,152.01,120000,R100,0.0715,0.25,0.0615
255,255,124.52,120000,R100,0.0858,0.3,0.0738
255,255,93.79,120000,R100,0.1001,0.35,0.0861
255,255,80.27,120000,R100,0.1144,0.4,0.0984
255,255,66.27,120000,R100,0.1287,0.45,0.1107
255,254.62,53.63,120000,R100,0.143,0.5,0.123
255,255,255,200000,R100,0.0143,0.05,0.0123
255,255,255,200000,R100,0.0286,0.1,0.0246
255,255,255,200000,R100,0.0429,0.15,0.0369
255,255,255,200000,R100,0.0572,0.2,0.0492
255,255,248.84,200000,R100,0.0715,0.25,0.0615
255,255,205.35,200000,R100,0.0858,0.3,0.0738
255,255,156.8,200000,R100,0.1001,0.35,0.0861
255,255,134.13,200000,R100,0.1144,0.4,0.0984
255,255,110.57,200000,R100,0.1287,0.45,0.1107
255,255,90.84,200000,R100,0.143,0.5,0.123
